año,carrera,ingresos_H,ingresos_M,puntaje_H,puntaje_M,total_ingresos,brecha_ingresos,brecha_puntaje,titulaciones_M,titulaciones_H,total_titulaciones,brecha_titulaciones,asistencia_H,asistencia_M,autoconfianza_H,autoconfianza_M,motivacion_H,motivacion_M,participacion_H,participacion_M,brecha_motivacion,brecha_asistencia,brecha_participacion,brecha_autoconfianza,repr_prom_H,repr_prom_M,repr_min_H,repr_min_M,repr_max_H,repr_max_M,brecha_reprobaciones,riesgo_alto_H,riesgo_alto_M,riesgo_bajo_H,riesgo_bajo_M,riesgo_medio_H,riesgo_medio_M,asistencia_H_bajo,asistencia_M_bajo,autoconfianza_H_bajo,autoconfianza_M_bajo,motivacion_H_bajo,motivacion_M_bajo,participacion_H_bajo,participacion_M_bajo,repr_prom_H_bajo,repr_prom_M_bajo,repr_min_H_bajo,repr_min_M_bajo,repr_max_H_bajo,repr_max_M_bajo,asistencia_H_medio,asistencia_M_medio,autoconfianza_H_medio,autoconfianza_M_medio,motivacion_H_medio,motivacion_M_medio,participacion_H_medio,participacion_M_medio,repr_prom_H_medio,repr_prom_M_medio,repr_min_H_medio,repr_min_M_medio,repr_max_H_medio,repr_max_M_medio,asistencia_H_alto,asistencia_M_alto,autoconfianza_H_alto,autoconfianza_M_alto,motivacion_H_alto,motivacion_M_alto,participacion_H_alto,participacion_M_alto,repr_prom_H_alto,repr_prom_M_alto,repr_min_H_alto,repr_min_M_alto,repr_max_H_alto,repr_max_M_alto
2020,Ingeniería Civil Eléctrica,,,,,,,,1.0,20.0,21.0,-19.0,4.17,,2.08,,4.5,,2.33,,,,,,5.0,,3.0,,3.58,,,0.0,,50.0,,50.0,,4.83,,1.67,,5.0,,2.17,,4.0,,3.0,,3.17,,3.5,,2.5,,4.0,,2.5,,5.0,,3.0,,4.0,,,,,,,,,,,,,,,
2021,Ingeniería Civil Eléctrica,,,,,,,,6.0,26.0,32.0,-20.0,3.59,3.0,3.74,3.3,4.41,4.0,2.69,2.3,-0.41,-0.59,-0.39,-0.44,8.0,6.0,0.0,4.0,2.59,5.4,-2.0,7.41,0.0,53.7,70.0,38.89,30.0,4.03,3.0,3.83,3.0,4.52,4.0,2.97,2.0,4.0,6.0,1.0,6.0,2.34,6.0,3.29,3.0,3.76,4.0,4.52,4.0,2.43,3.0,8.0,4.0,0.0,4.0,2.29,4.0,2.0,,3.0,,3.0,,2.0,,6.0,,6.0,,6.0,
2022,Ingeniería Civil Eléctrica,,,,,,,,3.0,31.0,34.0,-28.0,3.74,5.0,3.56,1.0,4.59,5.0,3.22,4.0,0.41,1.26,0.78,-2.56,5.0,0.0,0.0,0.0,3.04,0.0,-5.0,0.0,0.0,40.74,100.0,59.26,0.0,4.27,5.0,4.36,1.0,4.91,5.0,4.09,4.0,3.0,0.0,0.0,0.0,1.55,0.0,3.38,,3.0,,4.38,,2.62,,5.0,,3.0,,4.06,,,,,,,,,,,,,,,
2023,Ingeniería Civil Eléctrica,,,,,,,,2.0,41.0,43.0,-39.0,3.64,3.0,3.57,3.0,4.0,4.0,2.21,2.0,0.0,-0.64,-0.21,-0.57,1.0,0.0,0.0,0.0,0.57,0.0,-1.0,0.0,0.0,42.86,100.0,57.14,0.0,4.5,3.0,3.0,3.0,4.0,4.0,3.83,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,4.0,,4.0,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,
2024,Ingeniería Civil Eléctrica,,,,,,,,2.0,30.0,32.0,-28.0,,3.0,,2.0,,4.0,,3.0,,,,,,0.0,,0.0,,0.0,,,0.0,,0.0,,100.0,,,,,,,,,,,,,,,,3.0,,2.0,,4.0,,3.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,
2025,Ingeniería Civil Eléctrica,,,,,,,,,,,,3.88,3.6,3.68,3.6,4.27,4.5,2.58,3.1,0.23,-0.28,0.52,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.33,40.0,31.67,60.0,4.2,3.0,3.83,3.0,4.44,4.0,2.73,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21,4.0,3.37,4.0,3.89,4.83,2.26,2.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2007,Ingeniería Civil Industrial,,,,,,,,18.0,29.0,47.0,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Ingeniería Civil Industrial,,,,,,,,8.0,26.0,34.0,-18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Ingeniería Civil Industrial,,,,,,,,20.0,32.0,52.0,-12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Ingeniería Civil Industrial,,,,,,,,9.0,33.0,42.0,-24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Ingeniería Civil Industrial,,,,,,,,10.0,21.0,31.0,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Ingeniería Civil Industrial,,,,,,,,14.0,29.0,43.0,-15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Ingeniería Civil Industrial,40.0,20.0,708.1,704.55,60.0,-20.0,-3.55,14.0,38.0,52.0,-24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Ingeniería Civil Industrial,66.0,32.0,705.71,703.66,98.0,-34.0,-2.05,20.0,44.0,64.0,-24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Ingeniería Civil Industrial,77.0,34.0,700.52,700.29,111.0,-43.0,-0.23,16.0,38.0,54.0,-22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Ingeniería Civil Industrial,67.0,43.0,700.16,693.23,110.0,-24.0,-6.93,13.0,29.0,42.0,-16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Ingeniería Civil Industrial,57.0,46.0,698.61,699.39,103.0,-11.0,0.78,11.0,27.0,38.0,-16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Ingeniería Civil Industrial,,,,,,,,30.0,66.0,96.0,-36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Ingeniería Civil Industrial,,,,,,,,27.0,56.0,83.0,-29.0,,5.0,,4.0,,5.0,,5.0,,,,,,3.0,,3.0,,3.0,,,0.0,,100.0,,0.0,,5.0,,4.0,,5.0,,5.0,,3.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Ingeniería Civil Industrial,,,,,,,,13.0,49.0,62.0,-36.0,4.0,,2.0,,4.0,,3.0,,,,,,10.0,,10.0,,10.0,,,0.0,,100.0,,0.0,,4.0,,2.0,,4.0,,3.0,,10.0,,10.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Ingeniería Civil Industrial,,,,,,,,38.0,61.0,99.0,-23.0,3.38,,3.38,,4.0,,2.0,,,,,,8.0,,0.0,,5.0,,,0.0,,37.5,,62.5,,4.0,,4.0,,4.0,,2.0,,0.0,,0.0,,0.0,,3.0,,3.0,,4.0,,2.0,,8.0,,8.0,,8.0,,,,,,,,,,,,,,,
2022,Ingeniería Civil Industrial,,,,,,,,32.0,58.0,90.0,-26.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,0.0,-1.0,0.0,-1.0,4.0,7.0,4.0,7.0,4.0,7.0,3.0,0.0,0.0,100.0,0.0,0.0,100.0,4.0,,4.0,,4.0,,2.0,,4.0,,4.0,,4.0,,,3.0,,3.0,,4.0,,2.0,,7.0,,7.0,,7.0,,,,,,,,,,,,,,
